card_id,age,avg_visits_per_week,avg_spendings_per_week
2018-13036,25,7,39
2018-13197,39,2,57
2018-13413,52,1,99
2018-13514,65,5,87
2018-13521,22,7,7
2018-13819,25,4,37
2018-14178,37,6,96
2018-14216,57,5,89
2018-14317,70,1,91
2018-14996,34,6,35
2018-15155,43,4,87
2018-15764,35,10,76
2018-15971,68,4,90
2019-13094,68,7,87
2019-13209,34,3,75
2019-13483,47,6,79
2019-14257,36,6,89
2019-14492,50,1,97
2019-14574,71,2,86
2019-14978,68,3,91
2019-15145,64,6,94
2019-15313,49,6,88
2019-15382,19,7,18
2019-15618,58,5,92
2019-15695,26,8,59
2019-15996,58,3,102
2020-13456,52,4,73
2020-14697,36,4,60
2020-15017,68,1,76
2020-15200,21,9,30
2020-15247,61,3,81
2020-15375,51,8,58
2020-15436,31,8,47
2020-15469,20,7,27
2020-15481,72,1,87
2020-15496,19,6,35
2020-15965,24,12,31
2021-13190,27,8,46
2021-13256,67,3,93
2021-13544,56,1,80
2021-13775,63,2,91
2021-13924,20,7,43
2021-13994,51,5,83
2021-14109,70,1,79
2021-14146,29,8,26
2021-14261,66,1,99
2021-14539,49,8,63
2021-14689,24,9,34
2021-14970,56,3,89
2021-15777,59,3,86
2022-13047,44,8,70
2022-13327,50,6,63
2022-14173,50,1,83
2022-14203,51,5,73
2022-14433,69,1,101
2022-14784,25,8,29
2022-15053,51,1,91
2022-15465,45,7,69
2022-15586,35,5,38
2022-15864,39,7,68
2023-13145,50,6,94
2023-13351,51,1,73
2023-14284,50,3,64
2023-14508,28,10,18
2023-14965,55,5,68
2023-15237,34,9,42
2023-15254,39,5,76
2023-15278,71,2,93
2023-15447,36,6,71
2023-15595,51,3,65
2023-15656,34,6,36
2024-13324,33,7,48
2024-13458,18,6,59
2024-13609,53,1,95
2024-13765,46,6,68
2024-14106,25,8,36
2024-14115,40,8,66
2024-14314,35,5,56
2024-14535,35,5,65
2024-15594,32,10,49
2024-15653,53,1,102
2024-15653,71,3,90
2025-13197,18,9,17
2025-13333,69,3,90
2025-13391,40,6,74
2025-13419,52,5,71
2025-13681,72,3,87
2025-13789,66,2,89
2025-13789,34,7,37
2025-14003,25,7,45
2025-14197,20,9,20
2025-14835,69,2,80
2025-14918,60,3,87
2025-15480,71,2,96
2025-15588,36,3,71
2025-15689,18,7,40
2025-15742,55,2,63
2025-15771,69,5,89
2025-15802,32,9,30
2025-15943,48,6,73
